log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\yelp\efficiency\n_hid_256\eff_n_hid_256.console.log,yelp,2023,256,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_256,Model/yelp/efficiency/n_hid_256/,20,0.044911,0.022957,24.7602,5,147.4600,1
History\yelp\efficiency\n_hid_32\eff_n_hid_32.console.log,yelp,2023,32,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_32,Model/yelp/efficiency/n_hid_32/,20,0.033128,0.016863,5.6143,5,116.7885,1
History\yelp\efficiency\n_hid_64\eff_n_hid_64.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_64,Model/yelp/efficiency/n_hid_64/,20,0.036334,0.018836,7.7806,5,131.0613,1
History\yelp\efficiency\steps_100\eff_steps_100.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,100,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_100,Model/yelp/efficiency/steps_100/,20,0.038294,0.019817,7.6452,5,124.8242,1
History\yelp\efficiency\steps_10\eff_steps_10.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,10,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_10,Model/yelp/efficiency/steps_10/,20,0.035239,0.018162,8.4073,5,127.1138,1
History\yelp\efficiency\steps_200\eff_steps_200.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_200,Model/yelp/efficiency/steps_200/,20,0.039452,0.020574,7.6027,5,128.5536,1
History\yelp\efficiency\steps_50\eff_steps_50.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_50,Model/yelp/efficiency/steps_50/,20,0.036262,0.018822,7.6392,5,121.3404,1
History\yelp\sampling_sweep\steps0_noiseFalse\sampling_sweep_steps0_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,116.3983,1
History\yelp\sampling_sweep\steps0_noiseTrue\sampling_sweep_steps0_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,115.1418,1
History\yelp\sampling_sweep\steps10_noiseFalse\sampling_sweep_steps10_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,124.8345,1
History\yelp\sampling_sweep\steps10_noiseTrue\sampling_sweep_steps10_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,128.5301,1
History\yelp\sampling_sweep\steps20_noiseFalse\sampling_sweep_steps20_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,117.5287,1
History\yelp\sampling_sweep\steps20_noiseTrue\sampling_sweep_steps20_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,116.9859,1
History\yelp\sampling_sweep\steps50_noiseFalse\sampling_sweep_steps50_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,118.8337,1
History\yelp\sampling_sweep\steps50_noiseTrue\sampling_sweep_steps50_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,122.1794,1
History\yelp\sampling_sweep\steps5_noiseFalse\sampling_sweep_steps5_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,116.5356,1
